dataset_name,model_name,method_name,test_auroc
ogbg-molhiv,GCN,,0.7538847327232361
ogbg-molhiv,GCN,,0.7351744771003723
ogbg-molhiv,GCN,,0.7108306288719177
ogbg-molhiv,GCN,emb_mixup,0.7476061582565308
ogbg-molhiv,GCN,emb_mixup,0.7513171434402466
ogbg-molhiv,GCN,emb_mixup,0.7152532339096069
ogbg-molhiv,GCN,g_mixup,0.7088240385055542
ogbg-molhiv,GCN,g_mixup,0.7671140432357788
ogbg-molhiv,GCN,g_mixup,0.734919548034668
ogbg-molhiv,GCN,ged_mixup,0.7428957223892212
ogbg-molhiv,GCN,ged_mixup,0.7285617589950562
ogbg-molhiv,GCN,ged_mixup,0.7481932640075684
ogbg-molhiv,GCN,if_mixup,0.7431294918060303
ogbg-molhiv,GCN,if_mixup,0.7291044592857361
ogbg-molhiv,GCN,if_mixup,0.716620683670044
ogbg-molhiv,GCN,s_mixup,0.7240039110183716
ogbg-molhiv,GCN,s_mixup,0.7133007645606995
ogbg-molhiv,GCN,s_mixup,0.7234525680541992
ogbg-molhiv,GCN,submix,0.7441008687019348
ogbg-molhiv,GCN,submix,0.6969987750053406
ogbg-molhiv,GCN,submix,0.7463759183883667
ogbg-molhiv,GIN,,0.759917140007019
ogbg-molhiv,GIN,,0.7777081727981567
ogbg-molhiv,GIN,,0.7574557065963745
ogbg-molhiv,GIN,emb_mixup,0.7726684808731079
ogbg-molhiv,GIN,emb_mixup,0.7419648766517639
ogbg-molhiv,GIN,emb_mixup,0.751491904258728
ogbg-molhiv,GIN,g_mixup,0.7519553899765015
ogbg-molhiv,GIN,g_mixup,0.7433052062988281
ogbg-molhiv,GIN,g_mixup,0.7327932119369507
ogbg-molhiv,GIN,ged_mixup,0.7395817041397095
ogbg-molhiv,GIN,ged_mixup,0.7528669834136963
ogbg-molhiv,GIN,ged_mixup,0.7626354098320007
ogbg-molhiv,GIN,if_mixup,0.7355839610099792
ogbg-molhiv,GIN,if_mixup,0.7114022970199585
ogbg-molhiv,GIN,if_mixup,0.7635914087295532
ogbg-molhiv,GIN,s_mixup,0.769010603427887
ogbg-molhiv,GIN,s_mixup,0.7218853235244751
ogbg-molhiv,GIN,s_mixup,0.7477123737335205
ogbg-molhiv,GIN,submix,0.754313588142395
ogbg-molhiv,GIN,submix,0.7495123147964478
ogbg-molhiv,GIN,submix,0.7580795288085938
